location_key,date,country_code,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_per_capita_usd,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,relative_humidity,new_recovered,cumulative_recovered,cumulative_vaccine_doses_administered,population_rural,population_urban,population_density,human_development_index,gdp_usd,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
CO,2020-01-01,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,21.962963,16.972222,26.62963,1.8288,79.1952,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-02,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.027778,17.398148,28.083333,3.090333,74.373649,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-03,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.583333,17.185185,28.5,1.100667,69.195171,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-04,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.574074,16.518519,28.694444,0.084667,63.788427,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-05,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.324074,16.916667,28.583333,0,66.070403,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-06,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,22.740741,16.203704,28.064815,0,66.035034,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-07,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.212963,16.490741,28.574074,0,62.74357,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-08,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.305556,15.611111,28.666667,0,61.285629,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-09,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.314815,15.527778,29.027778,0,60.795344,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-10,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.787037,15.314815,29.305556,0,57.428456,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-11,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.527778,16.5,28.472222,0,55.812613,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-12,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.888889,16.777778,28.5,0,59.436049,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-13,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.62037,17.25,28.87037,0,59.253753,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-14,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,24.259259,17.240741,30.037037,0,58.682198,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-15,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,24.074074,17.268519,29.240741,0,59.917657,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-16,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.611111,17.527778,29.462963,0,62.860779,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-17,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,23.611111,17.944444,28.851852,1.481667,63.167761,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
CO,2020-01-18,CO,Colombia,0,0,0,0,50882884,24984564,25898320,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,6432,4,-73.25,1141748,24.787037,18.342593,29.675926,1.989667,58.006283,,,,9512141,40827302,45.861,0.747,323802808108,9,7.4,12.2,1.3309,2.1848,10779376,1090598,36132,77.109,151.616,77.999,37,15.8
