location_key,date,country_code,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_per_capita_usd,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,relative_humidity,new_recovered,cumulative_recovered,cumulative_vaccine_doses_administered,population_rural,population_urban,population_density,human_development_index,gdp_usd,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
PE,2020-07-21,PE,Peru,5313.0,601.0,384281.0,50781.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,24.25,19.055556,28.027778,0.0,57.704222,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-22,PE,Peru,6328.0,617.0,390609.0,51398.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,23.902778,18.930556,27.152778,0.0,55.997146,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-23,PE,Peru,5871.0,623.0,396480.0,52021.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,23.694444,18.875,27.375,0.0,58.600904,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-24,PE,Peru,6261.0,587.0,402741.0,52608.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,22.652778,18.5,27.305556,0.0,65.548994,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-25,PE,Peru,5875.0,616.0,408616.0,53224.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,20.066667,17.144444,23.077778,10.7188,80.730774,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-26,PE,Peru,3075.0,624.0,411691.0,53848.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,20.680556,17.25,24.555556,0.0,69.009352,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-27,PE,Peru,7389.0,662.0,419080.0,54510.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,23.347222,17.125,27.375,8.509,60.935936,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-28,PE,Peru,3171.0,615.0,422251.0,55125.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,23.833333,18.680556,27.611111,0.0,57.816356,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-29,PE,Peru,6919.0,588.0,429170.0,55713.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,23.319444,17.430556,27.791667,7.704667,61.894253,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-30,PE,Peru,7640.0,605.0,436810.0,56318.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,22.333333,18.305556,25.930556,0.0,67.563028,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-07-31,PE,Peru,8084.0,636.0,444894.0,56954.0,29381884,14450757,14931127,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,6977.0,-9.4,-76.0,1285220.0,22.222222,17.305556,26.055556,0.0635,64.907106,,,,7120114.0,25390339.0,25.759,0.75,226848050819.0,4.8,6.6,11.1,2.4398,1.3048,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
