location_key,date,country_code,country_name,new_confirmed,new_deceased,vaccine_doses_administered_for_day,population,cumulative_vaccine_doses_administered,population_male,population_female,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,relative_humidity,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
CL,2020-01-01,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.8,57.374661,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-02,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,19.888889,61.998791,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-03,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.144444,65.802126,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-04,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.077778,65.108005,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-05,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,19.455556,64.951602,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-06,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,18.177778,58.151582,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-07,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.144444,52.673906,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-08,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,19.955556,59.47967,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-09,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.755556,53.655374,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-10,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.122222,50.488268,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-11,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.180556,47.75133,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-12,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.211111,60.064554,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-13,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.111111,62.506602,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-14,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.1,62.952877,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-15,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.288889,50.154092,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-16,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.677778,48.139887,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-17,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.077778,54.451603,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-18,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.222222,59.809624,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-19,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.733333,64.232539,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-20,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.155556,66.373882,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-21,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.433333,64.997737,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-22,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.5,63.605444,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-23,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.477778,62.194441,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-24,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.111111,64.070999,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-25,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.977778,55.707421,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-26,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,23.7,51.601117,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-27,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.877778,60.654046,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-28,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.911111,59.681345,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-29,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.255556,65.458539,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-30,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.611111,59.205404,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-01-31,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.7,56.733284,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-01,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,21.711111,58.562213,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-02,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.111111,61.396232,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-03,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.355556,45.922295,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-04,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,22.097222,52.834549,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-05,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,19.366667,55.261007,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-06,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,18.433333,57.359759,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-07,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.177778,53.371626,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-08,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.788889,59.899394,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-09,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,20.1,62.422755,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
CL,2020-02-10,CL,Chile,0.0,0.0,0.0,17574003.0,0.0,8972014.0,8601989.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,282318159744.0,14896.0,-33.0,-71.0,756700.0,37.8,8.6,6.2,13.3248,2.5912,19.8,70.888264,6723516.0,709418.0,12027.0,80.042,107.669,59.035,25.3,12.4
