location_key,date,country_code,country_name,new_confirmed,new_deceased,vaccine_doses_administered_for_day,population,cumulative_vaccine_doses_administered,population_male,population_female,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,relative_humidity,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
PE,2020-01-01,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,23.37037,77.487727,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-02,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,22.888889,79.093986,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-03,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,24.175926,72.807537,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-04,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,24.805556,74.268934,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-05,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,24.791667,65.881118,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-06,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,25.268519,69.100513,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-07,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,23.787037,74.130968,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-08,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,23.564815,77.556955,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-09,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,24.842593,70.857047,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
PE,2020-01-10,PE,Peru,0.0,0.0,0.0,29381884.0,0.0,14450757.0,14931127.0,25.759,0.75,5140624.0,5035905.0,4895056.0,4379777.0,3660378.0,2772568.0,1846407.0,1078066.0,573103.0,226848050819.0,6977.0,-9.4,-76.0,1285220.0,4.8,6.6,11.1,2.4398,1.3048,24.87037,71.264722,10554712.0,1256339.0,16425.0,76.516,146.37,84.815,63.9,12.6
