location_key,date,country_code,country_name,new_confirmed,new_deceased,cumulative_vaccine_doses_administered,population,population_male,population_female,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,relative_humidity,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
CO,2020-03-06,CO,Colombia,1.0,0.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,24.574074,60.939466,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-07,CO,Colombia,0.0,1.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,23.722222,69.278718,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-08,CO,Colombia,0.0,0.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,23.62037,70.720435,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-09,CO,Colombia,2.0,0.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,23.407407,71.730307,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-10,CO,Colombia,0.0,1.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,24.018519,68.912002,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-11,CO,Colombia,6.0,1.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,24.472222,66.808083,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-12,CO,Colombia,4.0,0.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,23.407407,73.963031,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-13,CO,Colombia,5.0,0.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,23.796296,74.260373,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-14,CO,Colombia,16.0,0.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,22.388889,80.427492,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
CO,2020-03-15,CO,Colombia,20.0,1.0,0.0,50882884.0,24984564.0,25898320.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,323802808108.0,6432.0,4.0,-73.25,1141748.0,9.0,7.4,12.2,1.3309,2.1848,22.074074,82.105496,10779376.0,1090598.0,36132.0,77.109,151.616,77.999,37.0,15.8
